FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQMD_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CURRENCY.DATA.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1103_Inbound_Feed, PP, Feed, Source, SMQ.RKEM.DERT.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CONT.DATA.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1104_Inbound_Feed, PP, Feed, Source, SMQ.RKEM.DERT.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CONT.DATA.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_Reply, PP, Reply, Source, SMQ.DERT.SHIP.HAULAGE.INFO.REPLY.RCV,IQMD,FALSE,        CDS
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_RQ1103_Request, PP, Request, Source, IIB.DERT.SHIP.HAULAGE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_RQ1103_Request, PP, Request, Destination, SMQ.WCDS.DERT.EVENT,IQMD,FALSE,        CDS
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_RQ1104_Request, PP, Request, Source, IIB.DERT.SHIP.HAULAGE.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_RQ1104_Request, PP, Request, Destination, SMQ.WCDS.DERT.EVENT,IQMD,FALSE,        CDS
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_Reply, PP, Reply, Source, SMQ.DERT.REPAIR.INFO.REPLY.RCV,MERCPPRD1,FALSE,        MERC+
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_RQ1103_Request, PP, Request, Source, IIB.DERT.REPAIR.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_RQ1103_Request, PP, Request, Destination, SMQ.DERT.MERC.EVENT,MERCPPRD1,TRUE,        MERC+
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_RQ1104_Request, PP, Request, Source, IIB.DERT.REPAIR.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_MERCPLUS_REPAIR_INFO_DB_RQ1104_Request, PP, Request, Destination, SMQ.DERT.MERC.EVENT,MERCPPRD1,FALSE,        MERC+
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_Reply, PP, Reply, Source, SMQ.DERT.HAULAGE.INFO.DAMAGED.REPLY.RCV,METPDAQM,FALSE,        METS+
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_RQ1103_Request, PP, Request, Source, IIB.DERT.HAULAGE.INFO.DAMAGED.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_RQ1103_Request, PP, Request, Destination, SMQ.DERT.METSPLUS.EVENT,METPDAQM,FALSE,        METS+
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_RQ1104_Request, PP, Request, Source, IIB.DERT.HAULAGE.INFO.DAMAGED.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_METSPLUS_HAULAGE_INFO_DAMAGED_DB_RQ1104_Request, PP, Request, Destination, SMQ.DERT.METSPLUS.EVENT,METPDAQM,FALSE,        METS+
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1103_IQDB_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1103_IQDB_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQDB,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1103_IQMD_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1103_IQMD_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1104_IQDB_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1104_IQDB_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQDB,FALSE,        RKEM
